run_id, epoch_idx, optimizer_name, batch_size, lr, ta, tl, va, vl
mlp_1x512_bs32_adam_lr0_001,12,adam,32,0.001,0.7119,0.8784,0.848,0.5203
mlp_1x512_bs32_adam_lr0_001,13,adam,32,0.001,0.7082,0.8796,0.85,0.5216
mlp_1x512_bs32_adam_lr0_001,14,adam,32,0.001,0.7131,0.8606,0.842,0.5353
mlp_1x512_bs32_adam_lr0_001,15,adam,32,0.001,0.7176,0.8469,0.8487,0.4987
mlp_1x512_bs32_adam_lr0_001,16,adam,32,0.001,0.7249,0.8436,0.848,0.5043
mlp_1x512_bs32_adam_lr0_001,17,adam,32,0.001,0.7302,0.827,0.8547,0.4762
mlp_1x512_bs32_adam_lr0_001,18,adam,32,0.001,0.7327,0.8192,0.862,0.4737
mlp_1x512_bs32_adam_lr0_001,19,adam,32,0.001,0.7288,0.8125,0.874,0.4528
mlp_1x512_bs32_adam_lr0_001,20,adam,32,0.001,0.7356,0.8048,0.8607,0.4641
mlp_1x512_bs32_adam_lr0_001,21,adam,32,0.001,0.736,0.7992,0.8633,0.4613
mlp_1x512_bs32_adam_lr0_001,22,adam,32,0.001,0.734,0.8085,0.8507,0.4732
mlp_1x512_bs32_adam_lr0_001,23,adam,32,0.001,0.7376,0.7985,0.8593,0.4709
mlp_1x512_bs32_adam_lr0_001,24,adam,32,0.001,0.7446,0.7715,0.8653,0.448
mlp_1x512_bs32_adam_lr0_01,1,adam,32,0.01,0.4181,1.8644,0.6267,1.1528
mlp_1x512_bs32_adam_lr0_01,2,adam,32,0.01,0.5133,1.4754,0.662,1.0567
mlp_1x512_bs32_adam_lr0_01,3,adam,32,0.01,0.5197,1.4406,0.6573,1.0233
mlp_1x512_bs32_adam_lr0_01,4,adam,32,0.01,0.5294,1.4206,0.7007,0.9482
mlp_1x512_bs32_adam_lr0_01,5,adam,32,0.01,0.5308,1.411,0.6947,0.9613
mlp_1x512_bs32_adam_lr0_01,6,adam,32,0.01,0.5299,1.4162,0.6893,0.9679
